venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photos_real_weddings,photos_maps,source,notes
"2773, Glenbrook",,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/2773glenbrook/,,,easyweddings_BlueMountains,
Allview Escape Blackheath,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/AllviewEscapeBlackheath/,,,easyweddings_BlueMountains,
Australian Bushland Weddings,,,Up to 100 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/AustralianBushlandWeddings/,,,easyweddings_BlueMountains,
Bilpin Mountains Weddings,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/BilpinMountainsWeddings/,,,easyweddings_BlueMountains,
Blue Mountains Botanic Garden Mount Tomah,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/BlueMountainsBotanicGarden/,,,easyweddings_BlueMountains,
Clifton Woolshed,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/CliftonWoolshed/,,,easyweddings_BlueMountains,
Crowne Plaza Hawkesbury Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/CrownePlazaHawkesburyValley/,,,easyweddings_BlueMountains,
Fontana Amorosa Reception Centre Blacktown,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/FontanaAmorosaReceptionCentreBlacktown/,,,easyweddings_BlueMountains,
Hawkesbury Country Retreat,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/HawkesburyCountryRetreat/,,,easyweddings_BlueMountains,
Hawkesbury Function Centre,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/HawkesburyFunctionCentre/,,,easyweddings_BlueMountains,
Kurrajong Trails and Cottages,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/KurrajongTrailsandCottages/,,,easyweddings_BlueMountains,
"Laughin' Boy, Nepean River",,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/LaughinBoyNepeanRiver/,,,easyweddings_BlueMountains,
Leura House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/LeuraHouse/,,,easyweddings_BlueMountains,
Lithgow Workies,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/LithgowWorkies/,,,easyweddings_BlueMountains,
Hotel Mountain Heritage,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/MountainHeritage/,,,easyweddings_BlueMountains,
Nepean Belle Paddlewheeler,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/NepeanBellePaddlewheeler/,,,easyweddings_BlueMountains,
Riverside Oaks Golf Resort,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/RiversideOakGolfResort/,,,easyweddings_BlueMountains,
Saints Event Centre,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/SaintsEventCentre/,,,easyweddings_BlueMountains,
Suzarosa Mountain Getaway,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/SuzarosaMountainGetaway/,,,easyweddings_BlueMountains,
The Conservation Hut Cafe,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/TheConservationHutCafe/,,,easyweddings_BlueMountains,
Twin Creeks Golf & Country Club,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/TwinCreeksGolfAndCountryClub/,,,easyweddings_BlueMountains,
Waldara Farm,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/WaldaraFarm/,,,easyweddings_BlueMountains,
Wisemans Retreat,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/WisemansRetreat/,,,easyweddings_BlueMountains,
Apollo Weddings,,,40 - 100 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/ApolloInternational/,,,easyweddings_CentralCoast,
Bidja Estate,,,160-170 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/Bidjaestate/,,,easyweddings_CentralCoast,
Caves Coastal Bar & Bungalows,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/CavesBeachside/,,,easyweddings_CentralCoast,
Crowne Plaza Hawkesbury Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/CrownePlazaHawkesburyValley/,,,easyweddings_CentralCoast,
Crowne Plaza Terrigal Pacific,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/CrownePlazaTerrigalPacific/,,,easyweddings_CentralCoast,
Oaks Cypress Lakes Resort,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/CypressLakesResort/,,,easyweddings_CentralCoast,
Ettalong Diggers - The Esplanade Conference & Events Centre,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/EttalongDiggers/,,,easyweddings_CentralCoast,
Fernbank Farm,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/FernbankFarm/,,,easyweddings_CentralCoast,
