venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photos_real_weddings,photos_maps,source,notes
Athol Hall,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/AtholHall/,,,easyweddings,
Burnham Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/BurnhamEstate/,,,easyweddings,
Capella Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CapellaSydney/,,,easyweddings,
Centennial Homestead,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CentennialHomestead/,,,easyweddings,
Centennial Parklands,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CentennialParklands/,,,easyweddings,
The Victorian Room - Clarence House Venues,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/ClarenceHouseFunctionCentre/,,,easyweddings,
Coogee Bay Hotel,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CoogeeBayHotel/,,,easyweddings,
Cropley House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CropleyHouse/,,,easyweddings,
Crown Towers,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CrownTowersSydney/,,,easyweddings,
Crowne Plaza Hawkesbury Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CrownePlazaHawkesburyValley/,,,easyweddings,
Deckhouse,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/Deckhouse/,,,easyweddings,
Dockside Group,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/Dockside/,,,easyweddings,
Dunes Palm Beach,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/DunesPalmBeach/,,,easyweddings,
Epping Events,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/EppingEvents/,,,easyweddings,
Estate Vaucluse House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/EstateVaucluseHouse/,,,easyweddings,
Events at The Warwick,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/EventsatTheWarwick/,,,easyweddings,
Events by Alpha,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/EventsbyAlpha/,,,easyweddings,
Fontana Amorosa Function Centre Liverpool,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/FontanaAmorosa/,,,easyweddings,
Four Seasons Hotel Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/FourSeasonsHotelSydney/,,,easyweddings,
Georges River Sailing Club,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/GeorgesRiverSailingClub/,,,easyweddings,
Gunners’ Barracks,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/GunnersBarracks/,,,easyweddings,
Horizons Wedding Venue,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/HorizonsBeachVenueByTopCatCatering/,,,easyweddings,
Hyatt Regency Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/HyattRegencySydney/,,,easyweddings,
InterContinental Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/InterContinentalSydney/,,,easyweddings,
InterContinental Sydney Double Bay,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/InterContinentalSydneyDoubleBay/,,,easyweddings,
Ivy Ballroom,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/IvyBallroom/,,,easyweddings,
Jonah's Restaurant & Boutique Hotel,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/JonahsRestaurantAndBoutiqueHotel/,,,easyweddings,
Kalinya Estate,,,0-38 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/KalinyaEstate/,,,easyweddings,
Kimpton Margot Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/KimptonMargotSydney/,,,easyweddings,
Lauriston House Function Centre,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/LauristonHouseFunctionCentre/,,,easyweddings,
Linton Gardens,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/LintonGardens/,,,easyweddings,
"The Coast Chapel, Little Bay",,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/LittleBayChapel/,,,easyweddings,
Long Reef Golf Club,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/LongReefGolfClub/,,,easyweddings,
Lords Estate Heritage Chapel & Gardens,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/LordsEstate/,,,easyweddings,
Luna Lu and Como Italian at Campbell's Stores,,,Up to 200 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/LunaLu/,,,easyweddings,
Manly Pavilion,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/ManlyPavilion/,,,easyweddings,
Establishment Bar,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/MerivaleEstablishmentBar/,,,easyweddings,
Oceanview18,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/Oceanview18/,,,easyweddings,
Kensington Street Venues,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/OlioKensingtonStreet/,,,easyweddings,
Orso Bayside,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/OrsoBaysideReception/,,,easyweddings,
Petersham Town Hall,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/PetershamTownHall/,,,easyweddings,
Pier One Sydney Harbour,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/PierOneSydneyHarbourAutographCollection/,,,easyweddings,
Zest Waterfront Venues- The Beachouse at Point Piper,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/PointPiper/,,,easyweddings,
