venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photo_cover,photo_gallery,photos_real_weddings,photos_maps,source,notes
12-Micron,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/WatermansRoomat12Micron/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/Watermans-Room-at-12-Micron-19465-L-1-1837220248.jpg,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/Watermans-Room-at-12-Micron-19465-L-1-1837220248.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings,
"2773, Glenbrook",,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/2773glenbrook/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/-supplierlogo-photo-9d1a1e36-7ce7-4673-b096-aaeb4ba2b373.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_BlueMountains,
Abercrombie Ridge,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/AbercrombieRidge/,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/original-crop-253177ab-0a00-f354-5d6c-253b3ee30679-a0e9bf80-7dae-4262-a4c4-414b9a44ce50.png,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/original-crop-253177ab-0a00-f354-5d6c-253b3ee30679-a0e9bf80-7dae-4262-a4c4-414b9a44ce50.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_SouthernHighlands,
Albion Farm Gardens,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/AlbionFarmGardens/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/albion-farm-gardens-supplierlogo-photo-5609d0d2-78d7-45f9-9f94-3c328f376228.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_HunterValley,
Allview Escape Blackheath,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/AllviewEscapeBlackheath/,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Allview-Escape-Blackheath-15625-L689340-1826170816.png,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Allview-Escape-Blackheath-15625-L689340-1826170816.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_BlueMountains,
Apollo Weddings,,,40 - 100 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/ApolloInternational/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/apollo-weddings-supplierlogo-photo-bc7daa0a-ef23-48a0-8b2b-98c1163b2d7f.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_CentralCoast,
Athol Hall,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/AtholHall/,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/original-crop-b90e1ea8-8c40-54c3-256e-77fb86a12bc0-caf67cb7-8622-4c91-b03a-bab1eb1b4010.jpg,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/original-crop-b90e1ea8-8c40-54c3-256e-77fb86a12bc0-caf67cb7-8622-4c91-b03a-bab1eb1b4010.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings,
Australian Bushland Weddings,,,Up to 100 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/AustralianBushlandWeddings/,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Australian-Bushland-Weddings-21209-L-1-1829291028.png,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Australian-Bushland-Weddings-21209-L-1-1829291028.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_BlueMountains,
B Farm,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/BFarm/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/-supplierlogo-photo-597c76ca-952a-499d-b859-1d76b9e68deb.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_HunterValley,
barmilano | Events Venue,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/barmilano/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/-supplierlogo-photo-b78a8cc3-7e2b-486a-b045-57214fbd8723.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings,
